surge_band,arc_elasticity,n_trips,time_segment
1.25x,0.263,1267,Peak
1.5x,0.343,1240,Peak
1.75x,0.242,1289,Peak
2.0x,0.408,1207,Peak
2.5x,0.334,2487,Peak
1.25x,0.322,1306,Off-Peak
1.5x,0.383,1425,Off-Peak
1.75x,0.228,1341,Off-Peak
2.0x,0.419,1335,Off-Peak
2.5x,0.322,2722,Off-Peak
1.25x,0.261,1724,Weekday
1.5x,0.371,1808,Weekday
1.75x,0.226,1781,Weekday
2.0x,0.406,1733,Weekday
2.5x,0.321,3498,Weekday
1.25x,0.356,849,Weekend
1.5x,0.349,857,Weekend
1.75x,0.251,849,Weekend
2.0x,0.429,809,Weekend
2.5x,0.34,1711,Weekend
1.25x,0.252,249,rare
1.5x,0.284,280,rare
1.75x,0.329,243,rare
2.0x,0.393,232,rare
2.5x,0.312,544,rare
1.25x,0.348,1250,occasional
1.5x,0.359,1230,occasional
1.75x,0.211,1244,occasional
2.0x,0.411,1205,occasional
2.5x,0.334,2358,occasional
1.25x,0.238,1074,frequent
1.5x,0.388,1155,frequent
1.75x,0.24,1143,frequent
2.0x,0.421,1105,frequent
2.5x,0.324,2307,frequent
