adjusted_baseline_completion,surge_band,observed_completion,arc_elasticity,q_change_pct,p_change_pct
0.96,1.25x,0.9596,0.003,0.04,14.13
0.96,1.5x,0.9036,0.218,6.06,27.83
0.96,1.75x,0.9133,0.129,4.98,38.64
0.96,2.0x,0.8155,0.331,16.28,49.15
0.96,2.5x,0.8199,0.26,15.74,60.43
0.97,1.25x,0.9596,0.076,1.08,14.13
0.97,1.5x,0.9036,0.255,7.09,27.83
0.97,1.75x,0.9133,0.156,6.02,38.64
0.97,2.0x,0.8155,0.352,17.31,49.15
0.97,2.5x,0.8199,0.277,16.77,60.43
0.98,1.25x,0.9596,0.149,2.11,14.13
0.98,1.5x,0.9036,0.292,8.12,27.83
0.98,1.75x,0.9133,0.182,7.05,38.64
0.98,2.0x,0.8155,0.373,18.32,49.15
0.98,2.5x,0.8199,0.294,17.79,60.43
1.0,1.25x,0.9596,0.292,4.13,14.13
1.0,1.5x,0.9036,0.364,10.13,27.83
1.0,1.75x,0.9133,0.235,9.06,38.64
1.0,2.0x,0.8155,0.414,20.33,49.15
1.0,2.5x,0.8199,0.327,19.79,60.43
