surge_band,trips,avg_surge,avg_cm,avg_satisfaction,loyalty_group
1.0x,12974,1.0,7.348907815631263,4.08164791120703,Unknown
1.25x,986,1.25,13.029219066937118,3.7505070993914806,Unknown
1.5x,1036,1.5,18.380743243243245,3.397393822393822,Unknown
1.75x,987,1.75,25.56888551165147,3.147011144883485,Unknown
2.0x,967,2.0,30.781716649431228,2.762461220268873,Unknown
2.5x,1902,2.375262881177708,39.187255520504735,2.322975814931651,Unknown
1.0x,10385,1.0,7.501172845450168,4.272065479056331,Gold_Silver
1.25x,789,1.25,13.843168567807352,3.9595690747782,Gold_Silver
1.5x,759,1.5,17.39866930171278,3.6467720685111993,Gold_Silver
1.75x,766,1.75,22.539425587467363,3.273759791122715,Gold_Silver
2.0x,749,2.0,30.764045393858478,2.950333778371162,Gold_Silver
2.5x,1608,2.3782649253731343,37.76482587064677,2.472636815920398,Gold_Silver
