surge_band,zone_type,n_neg,min_fare_rs,min_fpk_rs
1.0x,residential,8412,124.29,6.06
1.0x,commercial,5778,124.28,6.02
1.0x,transit_hub,1902,124.26,6.03
1.25x,residential,359,125.27,7.16
1.25x,commercial,410,125.72,6.84
1.25x,transit_hub,169,128.59,6.99
1.5x,residential,332,125.68,7.81
1.5x,commercial,358,125.55,7.66
1.5x,transit_hub,153,126.42,7.62
1.75x,residential,236,127.76,8.25
1.75x,commercial,279,125.6,8.8
1.75x,transit_hub,120,126.79,8.6
2.0x,residential,191,128.09,8.99
2.0x,commercial,188,128.3,8.95
2.0x,transit_hub,109,128.46,9.21
2.5x,residential,303,127.78,9.83
2.5x,commercial,365,126.61,9.73
2.5x,transit_hub,125,129.04,9.83
