zone_type,distance_bucket,n_neg_trips,pct_neg,avg_cost_per_trip,avg_platform_rev,avg_cm,avg_distance_km,avg_take_rate,min_fare_to_break_even,min_fare_per_km
residential,<3km,4313,93.4,23.14,14.17,-8.97,2.2,0.1899,121.9,10.51
residential,3-5km,3405,70.2,23.57,17.4,-6.17,3.87,0.1892,124.62,6.1
residential,5-10km,2040,27.7,24.38,20.17,-4.21,6.51,0.1877,129.87,3.75
residential,10-20km,75,1.4,26.17,24.12,-2.04,11.07,0.1832,142.84,2.36
commercial,<3km,3331,91.5,23.18,14.52,-8.66,2.2,0.1902,121.85,10.55
commercial,3-5km,2528,66.3,23.62,17.56,-6.06,3.86,0.1895,124.6,6.12
commercial,5-10km,1467,24.1,24.46,20.31,-4.14,6.56,0.187,130.8,3.73
commercial,10-20km,52,1.2,26.0,24.04,-1.96,11.08,0.1831,142.02,2.35
transit_hub,<3km,1203,90.8,23.31,14.81,-8.5,2.2,0.1902,122.55,10.57
transit_hub,3-5km,856,63.0,23.75,17.74,-6.02,3.88,0.189,125.7,6.13
transit_hub,5-10km,503,23.4,24.41,20.35,-4.06,6.5,0.1873,130.33,3.76
transit_hub,10-20km,16,1.1,25.45,23.67,-1.78,11.13,0.1838,138.5,2.29
