city,zone_type,is_peak,is_weekend,n_1.5x,n_1.75x,completion_1.5x,completion_1.75x,non_monotonic,delta
Delhi,commercial,0,0,141,127,0.8936,0.9449,True,0.0513
Delhi,commercial,0,1,77,70,0.9481,0.8714,False,-0.0766
Delhi,commercial,1,0,125,126,0.912,0.873,False,-0.039
Delhi,commercial,1,1,50,56,0.9,0.9107,True,0.0107
Delhi,residential,0,0,61,48,0.8852,0.9375,True,0.0523
Delhi,residential,0,1,47,36,0.8723,0.9444,True,0.0721
Delhi,residential,1,0,75,76,0.9067,0.9079,True,0.0012
Delhi,residential,1,1,26,27,0.9231,1.0,True,0.0769
Delhi,transit_hub,0,0,33,28,0.8788,0.9643,True,0.0855
Delhi,transit_hub,0,1,21,21,0.9048,0.8571,False,-0.0476
Delhi,transit_hub,1,0,25,27,0.96,0.8889,False,-0.0711
Bangalore,commercial,0,0,169,163,0.8935,0.9202,True,0.0268
Bangalore,commercial,0,1,96,87,0.9271,0.9195,False,-0.0075
Bangalore,commercial,1,0,171,147,0.9006,0.9252,True,0.0246
Bangalore,commercial,1,1,73,58,0.9589,0.9483,False,-0.0106
Bangalore,residential,0,0,120,120,0.8917,0.925,True,0.0333
Bangalore,residential,0,1,73,71,0.8493,0.8873,True,0.038
Bangalore,residential,1,0,146,164,0.9247,0.8963,False,-0.0283
Bangalore,residential,1,1,59,66,0.8983,0.9545,True,0.0562
Bangalore,transit_hub,0,0,55,56,0.8909,0.8929,True,0.0019
Bangalore,transit_hub,0,1,20,24,0.9,1.0,True,0.1
Bangalore,transit_hub,1,0,32,44,0.9375,0.9091,False,-0.0284
Mumbai,commercial,0,0,112,113,0.8929,0.9115,True,0.0186
Mumbai,commercial,0,1,52,67,0.9038,0.9254,True,0.0215
Mumbai,commercial,1,0,99,112,0.9091,0.9464,True,0.0373
Mumbai,commercial,1,1,31,42,0.9032,0.7619,False,-0.1413
Mumbai,residential,0,0,124,93,0.8871,0.9247,True,0.0376
Mumbai,residential,0,1,65,75,0.8154,0.8667,True,0.0513
Mumbai,residential,1,0,144,167,0.9028,0.9281,True,0.0254
Mumbai,residential,1,1,60,49,0.95,0.898,False,-0.052
Mumbai,transit_hub,0,0,94,102,0.9681,0.9118,False,-0.0563
Mumbai,transit_hub,0,1,65,40,0.9385,0.9,False,-0.0385
Mumbai,transit_hub,1,0,82,68,0.8293,0.9118,True,0.0825
Mumbai,transit_hub,1,1,20,26,1.0,0.8462,False,-0.1538
